freeze_version,bucket_time,node_id,speed,congestion_status,road_count,fill_method,is_observed
train_20260505050000,2026-04-26 17:00:00,A1,36.52,1,8,real,1
train_20260505050000,2026-04-26 17:00:00,B2,38.12,1,4,real,1
train_20260505050000,2026-04-26 17:00:00,C3,29.31,1,10,real,1
train_20260505050000,2026-04-26 17:00:00,D4,40.35,1,9,real,1
train_20260505050000,2026-04-26 17:00:00,E5,40,1,2,real,1
train_20260505050000,2026-04-26 17:00:00,F6,37.29,1,3,real,1
train_20260505050000,2026-04-26 17:00:00,G7,37.67,1,6,real,1
train_20260505050000,2026-04-26 17:00:00,H8,36.84,1,5,real,1
train_20260505050000,2026-04-26 17:00:00,I9,30,1,5,real,1
train_20260505050000,2026-04-26 17:00:00,J10,33,1,3,real,1
train_20260505050000,2026-04-26 17:00:00,K11,33.43,2,4,spatial,0
train_20260505050000,2026-04-26 17:05:00,A1,38.73,1,8,real,1
train_20260505050000,2026-04-26 17:05:00,B2,36.86,1,5,real,1
train_20260505050000,2026-04-26 17:05:00,C3,28.97,1,10,real,1
train_20260505050000,2026-04-26 17:05:00,D4,40.25,1,9,real,1
train_20260505050000,2026-04-26 17:05:00,E5,39,1,2,real,1
train_20260505050000,2026-04-26 17:05:00,F6,37.18,1,4,real,1
train_20260505050000,2026-04-26 17:05:00,G7,36.67,1,6,real,1
train_20260505050000,2026-04-26 17:05:00,H8,36.6,1,5,real,1
train_20260505050000,2026-04-26 17:05:00,I9,29.2,1,4,real,1
train_20260505050000,2026-04-26 17:05:00,J10,31.67,1,3,real,1
train_20260505050000,2026-04-26 17:05:00,K11,32.68,2,4,spatial,0
train_20260505050000,2026-04-26 17:10:00,A1,36.5,1,8,real,1
train_20260505050000,2026-04-26 17:10:00,B2,40,1,4,real,1
train_20260505050000,2026-04-26 17:10:00,C3,31.64,1,11,real,1
train_20260505050000,2026-04-26 17:10:00,D4,40.56,1,9,real,1
train_20260505050000,2026-04-26 17:10:00,E5,37.5,1,2,real,1
train_20260505050000,2026-04-26 17:10:00,F6,42,1,3,real,1
train_20260505050000,2026-04-26 17:10:00,G7,35.83,1,6,real,1
train_20260505050000,2026-04-26 17:10:00,H8,38.2,1,5,real,1
train_20260505050000,2026-04-26 17:10:00,I9,28.75,1,4,real,1
train_20260505050000,2026-04-26 17:10:00,J10,31.67,1,3,real,1
